elexonBmUnit,nationalGridBmUnit,bmUnitName,fuelType,bmUnitType,leadPartyName,generationCapacity,demandCapacity,gspGroupId,gspGroupName,interconnectorId
2__CMRCY001,AG-COCT00,2__CMRCY001,,S,Octopus Energy Limited,2.300,-4.400,_C,London,
2__CMRCY002,AG-COCT01,AG-COCT01,,S,Octopus Energy Limited,0.000,-5.000,_C,London,
2__CPADD001,AG-CPAD01,Padd_DSR,,S,Fuse Energy Supply Limited,0.000,-0.004,_C,London,
2__DLOND001,AG-DEDF01,EDFE Aggregate MANWEB01,,S,EDF Energy Customers Limited,24.000,-2.000,_D,Merseyside North Wales,
2__DLOND002,AG-DEDF02,EDFE Aggregate MANWEB02,,S,EDF Energy Customers Limited,24.000,-2.000,_D,Merseyside North Wales,
2__DANGE001,AG-DLIM01,2__DANGE001,,S,Limejump Energy Limited,50.000,0.000,_D,Merseyside North Wales,
2__DMRCY001,AG-DOCT01,AG-DOCT01,,S,Octopus Energy Limited,0.000,-5.000,_D,Merseyside North Wales,
V__GDSKC001,AG-DSK01G,V__GDSKC001,,V,Danske Commodities A/S,0.000,0.000,_G,North Western,
V__HDSKC001,AG-DSK01H,V__HDSKC001,,V,Danske Commodities A/S,0.000,0.000,_H,Southern,
2__DSMAE001,AG-DSMA01,2__DSMAE001,,S,Smartestenergy Limited,35.786,0.000,_D,Merseyside North Wales,
2__DSMAE002,AG-DSMA02,2__DSMAE002,,S,Smartestenergy Limited,50.000,-50.000,_D,Merseyside North Wales,
2__DSTAT001,AG-DSTK01,STAT_D2,,S,Statkraft Markets Gmbh,20.000,-2.000,_D,Merseyside North Wales,
2__DSTAT002,AG-DSTK02,STAT_D3,,S,Statkraft Markets Gmbh,14.000,-2.000,_D,Merseyside North Wales,
2__DSTAT003,AG-DSTK03,STAT_D4,,S,Statkraft Markets Gmbh,20.000,0.000,_D,Merseyside North Wales,
2__DSTAT004,AG-DSTK04,STAT_D5,,S,Statkraft Markets Gmbh,16.000,0.000,_D,Merseyside North Wales,
2__DSTAT005,AG-DSTK05,STAT_D6,,S,Statkraft Markets Gmbh,16.000,0.000,_D,Merseyside North Wales,
2__DSTAT006,AG-DSTK06,STAT_D7,,S,Statkraft Markets Gmbh,14.000,0.000,_D,Merseyside North Wales,
2__DSTAT007,AG-DSTK07,STAT_D8,,S,Statkraft Markets Gmbh,30.000,-2.000,_D,Merseyside North Wales,
2__DSTAT099,AG-DSTK99,STAT_D99,,S,Statkraft Markets Gmbh,4.000,-2.000,_D,Merseyside North Wales,
2__DUKPR001,AG-DUKP01,UKPR MANW,,S,UK Power Reserve Limited,20.000,-20.000,_D,Merseyside North Wales,
2__DUKPR002,AG-DUKP02,2__DUKPR002,,S,UK Power Reserve Limited,20.000,-1.000,_D,Merseyside North Wales,
2__DUKPR008,AG-DUKP08,2__DUKPR008,,S,UK Power Reserve Limited,20.000,-21.000,_D,Merseyside North Wales,
V__AFEEL002,AG-EDF01C,V__AFEEL002,,V,EDF Energy Limited,50.000,-20.707,_A,Eastern,
2__ELOND001,AG-EEDF01,EDFE Aggregate W Mids 1,,S,EDF Energy Customers Limited,0.000,0.000,_E,Midlands,
2__ELOND002,AG-EEDF02,EDF Aggregate Midlands 2,,S,EDF Energy Customers Limited,6.000,0.000,_E,Midlands,
2__EFLEX001,AG-EFLX01,2__EFLEX001,,S,Flexitricity Limited,49.000,0.000,_E,Midlands,
2__EFLEX002,AG-EFLX02,2__EFLEX002,,S,Flexitricity Limited,49.000,0.000,_E,Midlands,
2__EFLEX003,AG-EFLX03,2__EFLEX003,,S,Flexitricity Limited,49.000,0.000,_E,Midlands,
2__EFLEX004,AG-EFLX04,2__EFLEX004,,S,Flexitricity Limited,49.000,0.000,_E,Midlands,
2__ELIME000,AG-ELIM01,2__ELIME000,,G,Limejump Energy Limited,26.000,0.000,_E,Midlands,
2__EANGE001,AG-ELIM02,2__EANGE001,,S,Limejump Energy Limited,50.000,-19.860,_E,Midlands,
2__EANGE002,AG-ELIM03,2__EANGE002,,S,Limejump Energy Limited,50.000,-17.900,_E,Midlands,
V__AENEL001,AG-ENX00A,V__AENEL001,,V,Enel X UK Limited,0.000,0.000,_A,Eastern GSP Group,
V__BENOC001,AG-ENX01B,V__BENOC001,,V,Enel X UK Limited,0.000,0.000,_B,East Midlands,
V__MENOC001,AG-ENX01M,V__MENOC001,,V,Enel X UK Limited,0.000,0.000,_M,Yorkshire,
2__EMRCY001,AG-EOCT01,AG-EOCT01,,S,Octopus Energy Limited,0.000,-5.000,_E,Midlands,
V__MEROV001,AG-ERV01M,V__MEROV001,,V,Erova Energy Limited,0.000,0.000,_M,Yorkshire,
2__ESMAR001,AG-ESMA01,2__ESMAR001,,S,Smartestenergy Limited,50.000,-50.000,_E,Midlands,
2__ESTAT001,AG-ESTK01,STAT_E2,,S,Statkraft Markets Gmbh,20.000,-2.000,_E,Midlands,
2__ESTAT002,AG-ESTK02,STAT_E3,,S,Statkraft Markets Gmbh,4.000,0.000,_E,Midlands,
2__ESTAT003,AG-ESTK03,STAT_E4,,S,Statkraft Markets Gmbh,18.000,-2.000,_E,Midlands,
2__ESTAT004,AG-ESTK04,STAT_E5,,S,Statkraft Markets Gmbh,12.603,0.000,_E,Midlands,
2__ESTAT005,AG-ESTK05,STAT_E6,,S,Statkraft Markets Gmbh,20.000,0.000,_E,Midlands,
C__ESTAT019,AG-ESTK06,C__ESTAT019-AR4-BSP-700,,S,Statkraft Markets Gmbh,32.000,0.000,_E,Midlands,
2__ESTAT099,AG-ESTK99,STAT_E99,,S,Statkraft Markets Gmbh,6.000,-4.000,_E,Midlands,
2__EUKPR001,AG-EUKP01,UKPR Mid,,S,UK Power Reserve Limited,20.000,-1.000,_E,Midlands,
V__EEXRG001,AG-EXE00E,V__EEXRG001,,V,Exergy Solutions Limited,0.000,0.000,_E,Midlands,
2__FLOND001,AG-FEDF01,EDFE Aggregate Northern 01,,S,EDF Energy Customers Limited,0.000,0.000,_F,_F - Northern,
2__FLOND002,AG-FEDF02,EDFE Aggregate Northern 02,,S,EDF Energy Customers Limited,0.000,0.000,_F,_F - Northern,
2__FFLEX001,AG-FFLX01,2__FFLEX001,,S,Flexitricity Limited,49.000,0.000,_F,Northern,
2__FANGE001,AG-FLIM01,2__FANGE001,,S,Limejump Energy Limited,50.000,-3.720,_F,_F - Northern,
2__FANGE002,AG-FLIM02,2__FANGE002,,S,Limejump Energy Limited,50.000,0.000,_F,_F - Northern,
V__LFLEX001,AG-FLX00L,V__LFLEX001,,V,Flexitricity Limited,3.738,-2.997,_L,South Western,
V__PFLEX001,AG-FLX01P,V__PFLEX001,,V,Flexitricity Limited,0.000,0.000,_P,North Scotland,
V__NFLEX001,AG-FLX02N,V__NFLEX001,,V,Flexitricity Limited,0.000,0.000,_N,South Scotland,
V__HFLEX001,AG-FLX03H,V__HFLEX001,,V,Flexitricity Limited,0.000,0.000,_H,Southern,
V__AFLEX001,AG-FLX04A,V__AFLEX001,,V,Flexitricity Limited,0.000,0.000,_A,Eastern GSP Group,
V__EFLEX001,AG-FLX04E,V__EFLEX001,,V,Flexitricity Limited,0.000,0.000,_E,Midlands,
V__MFLEX001,AG-FLX06M,V__MFLEX001,,V,Flexitricity Limited,0.000,0.000,_M,Yorkshire,
V__NFLEX002,AG-FLX07N,V__NFLEX002,,V,Flexitricity Limited,0.000,0.000,_N,SOUTH of SCOTLAND GSP,
V__AFLEX002,AG-FLX09A,V__AFLEX002,,V,Flexitricity Limited,0.000,0.000,_A,Eastern,
V__AFLEX003,AG-FLX0AA,V__AFLEX003,,V,Flexitricity Limited,0.000,0.000,_A,Eastern,
V__HFLEX002,AG-FLX0BH,V__HFLEX002,,V,Flexitricity Limited,0.000,0.000,_H,Southern,
V__NFLEX003,AG-FLX0CN,V__NFLEX003,,V,Flexitricity Limited,0.000,0.000,_N,South Scotland,
2__FMRCY001,AG-FOCT01,AG-FOCT01,,S,Octopus Energy Limited,0.000,-5.000,_F,Northern,
V__GFORS001,AG-FOR01G,V__GFORS001,,V,Forsa Trading Limited,0.000,0.000,_G,North Western,
V__NFORS001,AG-FOR01N,V__NFORS001,,V,Forsa Trading Limited,0.000,0.000,_N,South Scotland,
V__NFORS003,AG-FOR02N,V__NFORS003,,V,Forsa Trading Limited,20.000,0.000,_N,South Scotland,
2__FSTAT001,AG-FSTK01,STAT_F2,,S,Statkraft Markets Gmbh,50.000,-2.000,_F,Northern,
2__FSTAT002,AG-FSTK02,STAT_F3,,S,Statkraft Markets Gmbh,50.000,-2.000,_F,Northern,
2__FSTAT003,AG-FSTK03,STAT_F4,,S,Statkraft Markets Gmbh,50.000,-2.000,_F,Northern,
2__FSTAT099,AG-FSTK99,STAT_F99,,S,Statkraft Markets Gmbh,4.000,-4.000,_F,Northern,
V__BGBLO001,AG-GBL01B,V__BGBLO001,,V,GridBeyond Limited,0.000,0.000,_B,East Midlands,
V__EGBLO026,AG-GBL01E,V__EGBLO026,,V,GridBeyond Limited,0.000,0.000,_E,Midlands,
V__GGBLO027,AG-GBL01G,V__GGBLO027,,V,GridBeyond Limited,0.000,0.000,_G,North Western,
V__KGBLO029,AG-GBL01K,V__KGBLO029,,V,GridBeyond Limited,0.000,0.000,_K,South Wales,
V__MGBLO028,AG-GBL01M,V__MGBLO028,,V,GridBeyond Limited,0.000,0.000,_M,Yorkshire,
V__EGBLO001,AG-GBL02E,V__EGBLO001,,V,GridBeyond Limited,0.000,0.000,_E,Midlands,
V__KGBLO031,AG-GBL02K,V__KGBLO031,,V,GridBeyond Limited,0.000,0.000,_K,South Wales,
V__FGBLO001,AG-GBL03F,V__FGBLO001,,V,GridBeyond Limited,0.000,0.000,_F,Northern,
V__MGBLO001,AG-GBL04M,V__MGBLO001,,V,GridBeyond Limited,0.000,0.000,_M,Yorkshire,
V__DGBLO001,AG-GBL05D,V__DGBLO001,,V,GridBeyond Limited,0.000,0.000,_D,Merseyside North Wales,
V__GGBLO001,AG-GBL06G,V__GGBLO001,,V,GridBeyond Limited,0.000,0.000,_G,North Western,
V__NGBLO001,AG-GBL07N,V__NGBLO001,,V,GridBeyond Limited,0.000,0.000,_N,South Scotland,
V__HGBLO001,AG-GBL08H,V__HGBLO001,,V,GridBeyond Limited,0.000,0.000,_H,Southern,
V__NGBLO002,AG-GBL08N,V__NGBLO002,,V,GridBeyond Limited,0.000,0.000,_N,South Scotland,
V__BGBLO009,AG-GBL09B,V__BGBLO009,,V,GridBeyond Limited,0.000,0.000,_B,East Midlands,
V__HGBLO030,AG-GBL09H,V__HGBLO030,,V,GridBeyond Limited,0.000,0.000,_H,Southern,
V__EGBLO010,AG-GBL0AE,V__EGBLO010,,V,GridBeyond Limited,0.000,0.000,_E,Midlands,
V__EGBLO011,AG-GBL0BE,V__EGBLO011,,V,GridBeyond Limited,0.000,0.000,_E,Midlands,
V__EGBLO012,AG-GBL0CE,V__EGBLO012,,V,GridBeyond Limited,0.000,0.000,_E,Midlands,
V__NGBLO013,AG-GBL0DN,V__NGBLO013,,V,GridBeyond Limited,0.000,-6.332,_N,South Scotland,
V__NGBLO014,AG-GBL0EN,V__NGBLO014,,V,GridBeyond Limited,0.000,0.000,_N,South Scotland,
V__MGBLO015,AG-GBL0FM,V__MGBLO015,,V,GridBeyond Limited,0.000,0.000,_M,Yorkshire,
V__MGBLO016,AG-GBL0GM,V__MGBLO016,,V,GridBeyond Limited,0.000,0.000,_M,Yorkshire,
V__MGBLO017,AG-GBL0HM,V__MGBLO017,,V,GridBeyond Limited,0.000,0.000,_M,Yorkshire,
V__AGBLO018,AG-GBL0IA,V__AGBLO018,,V,GridBeyond Limited,0.000,0.000,_A,Eastern,
V__PGBLO019,AG-GBL0JP,V__PGBLO019,,V,GridBeyond Limited,0.000,0.000,_P,North Scotland,
V__BGBLO020,AG-GBL0KB,V__BGBLO020,,V,GridBeyond Limited,0.000,0.000,_B,East Midlands,
V__BGBLO021,AG-GBL0LB,V__BGBLO021,,V,GridBeyond Limited,0.000,0.000,_B,East Midlands,
V__MGBLO022,AG-GBL0MM,V__MGBLO022,,V,GridBeyond Limited,0.000,0.000,_M,Yorkshire,
V__NGBLO023,AG-GBL0NN,V__NGBLO023,,V,GridBeyond Limited,0.000,0.000,_N,South Scotland,
V__HGBLO024,AG-GBL0OH,V__HGBLO024,,V,GridBeyond Limited,0.000,0.000,_H,Southern,
V__EGBLO025,AG-GBL0PE,V__EGBLO025,,V,GridBeyond Limited,0.000,0.000,_E,Midlands,
2__GLOND001,AG-GEDF01,EDFE Aggregate N West 01,,S,EDF Energy Customers Limited,0.000,0.000,_G,North Western,
2__GLOND002,AG-GEDF02,EDFE Agg NW Eng 02,,S,EDF Energy Customers Limited,0.000,0.000,_G,North Western,
2__GLOND003,AG-GEDF03,EDFE Aggregate NW Eng 3,,S,EDF Energy Customers Limited,50.000,-2.000,_G,North Western,
2__GLOND004,AG-GEDF04,EDFE Aggregate NW Eng 4,,S,EDF Energy Customers Limited,24.000,-2.000,_G,North Western,
2__GLOND005,AG-GEDF05,EDF Aggregate Midlands 2,,S,EDF Energy Customers Limited,24.000,-24.000,_G,North Western,
2__GFLEX001,AG-GFLX01,2__GFLEX001,,S,Flexitricity Limited,49.000,0.000,_G,North Western,
2__GFLEX002,AG-GFLX02,2__GFLEX002,,S,Flexitricity Limited,49.000,0.000,_G,North Western,
2__GFLEX003,AG-GFLX03,2__GFLEX003,,S,Flexitricity Limited,49.000,0.000,_G,North Western,
2__GFLEX004,AG-GFLX04,2__GFLEX004,,S,Flexitricity Limited,49.000,0.000,_G,North Western,
2__GFLEX005,AG-GFLX05,2__GFLEX005,,S,Flexitricity Limited,49.000,0.000,_G,North Western,
2__GFLEX006,AG-GFLX06,2__GFLEX006,,S,Flexitricity Limited,49.000,0.000,_G,North Western,
2__GFLEX007,AG-GFLX07,2__GFLEX007,,S,Flexitricity Limited,49.000,0.000,_G,North Western,
2__GFLEX008,AG-GFLX08,2__GFLEX008,,S,Flexitricity Limited,49.000,0.000,_G,North Western,
2__GFLEX009,AG-GFLX09,2__GFLEX009,,S,Flexitricity Limited,49.000,0.000,_G,North Western,
2__GANGE001,AG-GLIM01,2__GANGE001,,S,Limejump Energy Limited,50.000,-44.628,_G,North Western,
2__GANGE002,AG-GLIM02,2__GANGE002,,S,Limejump Energy Limited,50.000,-6.580,_G,North Western,
2__GANGE003,AG-GLIM03,2__GANGE003,,S,Limejump Energy Limited,10.321,0.000,_G,North Western,
2__GANGE004,AG-GLIM04,2__GANGE004,,S,Limejump Energy Limited,20.340,0.000,_G,North Western,
2__GANGE005,AG-GLIM05,2__GANGE005,,S,Limejump Energy Limited,0.000,0.000,_G,North Western,
2__GANGE006,AG-GLIM06,2__GANGE006,,S,Limejump Energy Limited,0.000,0.000,_G,North Western,
2__GMRCY001,AG-GOCT01,AG-GOCT01,,S,Octopus Energy Limited,0.000,-5.000,_G,North Western,
2__GSMAE001,AG-GSMA01,2__GSMAE001,,S,Smartestenergy Limited,19.402,0.000,_G,North Western,
2__GSMAR002,AG-GSMA02,2__GSMAR002,,S,Smartestenergy Limited,0.000,0.000,_G,North Western,
2__GSTAT001,AG-GSTK01,STAT_G2,,S,Statkraft Markets Gmbh,20.000,-2.000,_G,North Western,
2__GSTAT002,AG-GSTK02,STAT_G3,,S,Statkraft Markets Gmbh,20.000,-2.000,_G,North Western,
2__GSTAT003,AG-GSTK03,STAT_G4,,S,Statkraft Markets Gmbh,20.000,-2.000,_G,North Western,
2__GSTAT004,AG-GSTK04,STAT_G5,,S,Statkraft Markets Gmbh,20.354,-2.000,_G,North Western,
2__GSTAT005,AG-GSTK05,STAT_G6,,S,Statkraft Markets Gmbh,20.000,-20.557,_G,North Western,
2__GSTAT006,AG-GSTK06,STAT_G7,,S,Statkraft Markets Gmbh,6.302,0.000,_G,North Western,
2__GSTAT007,AG-GSTK07,STAT_G8,,S,Statkraft Markets Gmbh,8.000,0.000,_G,North Western,
2__GSTAT008,AG-GSTK08,STAT_G9,,S,Statkraft Markets Gmbh,22.000,-2.000,_G,North Western,
2__GSTAT009,AG-GSTK09,STAT_G10,,S,Statkraft Markets Gmbh,16.000,-16.000,_G,North Western,
2__GSTAT010,AG-GSTK10,STAT_G11,,S,Statkraft Markets Gmbh,16.000,0.000,_G,North Western,
2__GSTAT011,AG-GSTK11,STAT_G12,,S,Statkraft Markets Gmbh,14.000,0.000,_G,North Western,
2__GSTAT012,AG-GSTK12,STAT_G13,,S,Statkraft Markets Gmbh,16.000,0.000,_G,North Western,
2__GSTAT013,AG-GSTK13,STAT_G14,,S,Statkraft Markets Gmbh,14.000,0.000,_G,North Western,
2__GSTAT014,AG-GSTK14,STAT_G15,,S,Statkraft Markets Gmbh,16.000,0.000,_G,North Western,
2__GSTAT015,AG-GSTK15,STAT_G16,,S,Statkraft Markets Gmbh,16.000,0.000,_G,North Western,
2__GSTAT016,AG-GSTK16,STAT_G17,,S,Statkraft Markets Gmbh,8.000,-8.000,_G,North Western,
2__GSTAT017,AG-GSTK17,STAT_G18,,S,Statkraft Markets Gmbh,28.000,-2.000,_G,North Western,
2__GSTAT099,AG-GSTK99,STAT_G99,,S,Statkraft Markets Gmbh,6.000,-6.000,_G,North Western,
2__GUKPR001,AG-GUKP01,UKPR NW,,S,UK Power Reserve Limited,20.000,-1.000,_G,North Western,
V__KGAZP001,AG-GZP03K,Rhymney,,V,SEFE Marketing & Trading LTD,0.000,0.000,_K,South Wales,
V__KGAZP002,AG-GZP04K,Brecon,,V,SEFE Marketing & Trading LTD,0.000,0.000,_K,South Wales,
V__EGAZP001,AG-GZP05E,Hem Heath,,V,SEFE Marketing & Trading LTD,0.000,0.000,_E,Midlands,
V__BGAZP001,AG-GZP06B,Staveley Energy Park,,V,SEFE Marketing & Trading LTD,0.000,0.000,_B,East Midlands,
V__GGAZP001,AG-GZP07G,Haydock,,V,SEFE Marketing & Trading LTD,0.000,0.000,_G,North Western,
V__MGAZP001,AG-GZP08M,Houghton,,V,SEFE Marketing & Trading LTD,0.000,0.000,_M,Yorkshire Electricity,
V__BHABI013,AG-HAB01B,Willoughby,,V,Habitat Energy Limited,0.000,0.000,_B,East Midlands,
V__GHABI016,AG-HAB01D,Gipsy Lane,,V,Habitat Energy Limited,0.000,0.000,_G,North Western,
V__FHABI014,AG-HAB01F,Flatworth,,V,Habitat Energy Limited,0.000,0.000,_F,Northern,
V__JHABI009,AG-HAB01J,Potmans Lane,,V,Habitat Energy Limited,0.000,0.000,_J,South Eastern,
V__PHABI010,AG-HAB01P,Boat of Garten,OTHER,V,Habitat Energy Limited,0.000,0.000,_P,North Scotland,
V__BHABI012,AG-HAB02B,Grendon,,V,Habitat Energy Limited,0.000,0.000,_B,East Midlands,
V__FHABI017,AG-HAB02F,York,,V,Habitat Energy Limited,0.000,0.000,_F,Northern,
